"94","Unité d'infusion LRI et d'injection RTM + table chauffante","Fabrication","Albi"
"95","Unité d'injection de composites et polymères","Fabrication","Albi"
"96","Equipement de mise en Å“uvre de betons refractaires","Fabrication","Albi"
"97","Equipement/local de préparation des précurseurs pour la mise en Å“uvre des composites","Fabrication","Albi"
"98","Pilote de soufflage de préformes polymères","Fabrication","Albi"
"99","Pilote de formage / gonflage avec chauffage par lampes infrarougesÂ ; pour applications duales","Fabrication","Albi"
"100","Etuve de grande capacité","Traitements thermiques","Albi"
"101","Four navette 1380°C","Traitements thermiques","Albi"
"102","Banc de stéréovision Très Haute Résolution (16M)","Contrôle et mesure des pièces fabriquées","Albi"
"103","Banc de stéréovision Haute Résolution (5M)","Contrôle et mesure des pièces fabriquées","Albi"
"104","Bancs de stéréovision (1.4M)","Contrôle et mesure des pièces fabriquées","Albi"
"105","Banc de 2 cameras rapides PHOTRON","Contrôle et mesure des pièces fabriquées","Albi"
"106","Caméras de thermographie Proche IR","Contrôle et mesure des pièces fabriquées","Albi"
"107","Four Corps noir 550","Contrôle et mesure des pièces fabriquées","Albi"
"108","Four Corps noir 1200","Contrôle et mesure des pièces fabriquées","Albi"
"109","Four Corps noir 1500","Contrôle et mesure des pièces fabriquées","Albi"
"112","Caméra thermographie IR ondes longues FLIR SC320","Contrôle et mesure des pièces fabriquées","Albi"
"111","Caméra thermographie IR ondes longues FLIR SC325","Contrôle et mesure des pièces fabriquées","Albi"
"113","Caméra thermographie IR ondes courtes FLIR SC7200","Contrôle et mesure des pièces fabriquées","Albi"
"114","Spectromètre IRTF","Contrôle et mesure des pièces fabriquées","Albi"
"115","Enceinte climatique SECASI SLHGV 100","Caractérisation mécanique","Toulouse"
"116","Système acquisition rapide HBM Genesis","Contrôle et mesure des pièces fabriquées","Toulouse"
"134","Diffractomètre de rayons X (XPERT)","Analyse physico-chimique","Albi"
"118","Banc de 2 cameras rapides PHOTRON","Contrôle et mesure des pièces fabriquées","Toulouse"
"119","Logiciel Corrélation d'images numériques VIC 2D-3D","Contrôle et mesure des pièces fabriquées","Toulouse"
"120","Démonstrateur de Résonnance Sol d'Hélicotère","Caractérisation mécanique","Toulouse"
"121","Dérotateur Vibromètre Laser POLYTEC","Contrôle et mesure des pièces fabriquées","Toulouse"
